,question,answer
0,1. What are the first types of policies I should get?,"The first thing to note about insurance is that there are many different kinds, suited to different needs. Protection-type policies protect you from unforeseen circumstances, endowment policies focus on savings, and investment-linked policies (ILP) are customisable schemes that help you grow your money, subject to market risk.Jumping into ILPs may seem enticing, but for beginners like you and I who are a little more conservative, the pros recommend starting off with a hospitalisation plan first. As Y.S., a manager at a local financial advisory firm puts it, having to get hospitalised without a policy to cover you renders all other plans useless, as your funds will all go towards paying your bills.Once you’ve got your basic hospitalisation plan covered, you can move on to exploring other protection-type insurance plans such as disability insurance, critical illness coverage and life insurance. This’ll ensure that you’ve got all your healthcare bases covered. After all, what good is wealth accumulation if you’re not alive and kicking to spend all that moolah?"
1,2. How much should I be insured for?,"As much as you may wear your kiasu–ism like a badge of honour, you don’t want to apply this logic when it comes to insurance. Over-insuring is an actual thing, which means that you’ll be spending unnecessary money on higher premiums than needed.The amount of money that you’re insured for affects the price of your premiums, so it’s important that you’re insured for just the right amount.Based on guidelines from the Life Insurance Association, Lorna Tan, Head of Financial Planning Literacy at DBS Bank, suggests that you get insured for about nine times your annual income in case of death. As for critical illness insurance, get about five years of your expenses covered, as that is typically the amount of time the average person needs to recuperate from a critical illness.Even if you’re new to the insurance game, you’re likely to have some sort of existing insurance policies under your parents, CPF Savings and deposit savings. It’s important to take them into account when working out your insurance gaps.To prevent yourself from over- or under-insuring, you can also check out the DBS NAV Planner to help you keep track of your insurance needs. It’ll give you precise, personalised calculations on how much insurance you’ll need depending on your dependants, life stage and income. You’ll even get suggestions on how your insurance cover might change over time."
2,3. What percentage of my savings should be set aside for insurance?,"As with the amount of money you set aside for insurance, this depends on your dependants, income and expenditure. If you’ve not built up an emergency fund yet, Lorna urges that you settle this before anything else. For most people, that would be three to six months of your expenses. But if you’re self-employed, it would be better to save up to 12 months instead.It’s more important to have all your bases covered at least a little, rather than stretch yourself too thin trying to pay unnecessarily hefty premiums, or put too many eggs in one basket while leaving other areas uninsured."
3,4. What common mistakes should I avoid when buying my first policy?,"One common mistake pointed out by the professionals is that people tend to rush into buying their first policy. As ‘M.N.’, a Financial Services Consultant points out, different insurance policies can get very confusing with many overlapping features. A good tip provided by Danielle Chia and Joe Liao, both Wealth Planning Managers at DBS, is to assess your financial situation and understand your insurance needs before shopping around for a suitable cover. This way, you won’t end up blindly purchasing a policy that you’ll struggle to pay premiums for.They added that you should not focus only on the premiums to pay, but also look at the guaranteed vs non-guaranteed parts of the policy illustration, so that you’ll have a bigger picture of how the policy will benefit you.To help you decide on a policy, here’s a checklist provided by Lorna, Head of Financial Planning Literacy at DBS:"
4,5. How do I file an insurance claim and how long does it take?,"Filing an insurance claim varies from agency to agency, but most of them will have a company portal that’ll guide you through submitting your claims. Besides ensuring that you’ve got the proper documentation, do a double check to make sure that all the information is accurate – else the process of claiming your payout may take longer.Most insurance claims take up to two weeks to process – the fastest being a few working days, according to ‘A.L.’, a Financial Consultant. However, serious and complicated claims can take longer, and factors like third-party involvement and waiting periods may delay the process. Filing claims can get stressful, so don’t be afraid to approach your financial planner for help instead of trying to tackle that mountain of paperwork alone. As certified Life Planner, ‘K.F.’, aptly puts, it’s always good to have a trusted agent settle your claims for you, especially when you have a hundred and one other more important things to settle in life."
5,6. Do I need to pay more when I make a claim?,"Although insurance plans do help to cover most of your expensive hospital bills, you’ll also be expected to foot some of the bill yourself in the form of deductibles and copayments. Deductibles are the minimum amount you’ll have to pay for your insurance before you can get a payout from your insurance. Copayments are the amount that you split with the insurer after paying your deductibles.Depending on your insurance provider, some policies may not cover certain illnesses or accidents. For example, most health insurance policies will not pay for cosmetic surgeries or new medical technologies. To get payouts from your insurance, most will also require proof such as medical reports, which can cost anywhere from $10 to $480."
6,7. How often should I update my insurance policy over the years?,"Our needs and goals change as we grow older – which is why it’s important for us to review our insurance policies. As advised by financial advisory manager, ‘Y.S.’, annual reviews with your advisor will help you decide which policies are the best to meet your present and future needs.As your passive income increases, you can also delve into savings and investment plans based on your current needs, as shared by ‘A.L.’, a Financial Consultant. However, ‘K.F.’ also mentions that, from his knowledge as a Life Planner, it’s important to gradually increase your insurance coverage in preparation of unexpected health problems that might come as you age. Building up bit by bit will give you more peace of mind, without forking out too much early on when you’ve just ventured into the working world."
0,# 1 What Affects My life Insurance Premiums?,"Insurance is all about managing risks, be it from yourself or your surroundings.Unsurprisingly, age is a factor that determines your premiums since there’s a higher chance of you getting sick later in your life.Similarly, men have a statistically shorter lifespan compared to women, so premiums are higher for men too.An infamous factor for insurance premium increase – smoking status – is involved as well. There are smokers who lie about their smoking status, but it only results in an invalid claim later in their lives if it was found that they smoked. It is easy to detect smoking status via blood tests, or if cross-referenced with prior health checkups or doctor visits.Other factors include your health status as determined by your health checkup before purchasing the insurance, family history, and the job you take on as well.Personal accident plans consider your occupation as well, since different occupations have different risk classes."
1,# 2 Do I Need A Medical Exam?,"A medical exam is almost always part of the life insurance purchase process. You need to take the medical exam to demonstrate to the insurance company that you’re not a risky customer.No-medical underwriting policies exist, but typically these policies have lower limit for sum assured to reflect the risk that the company.On the bright side, if you undergo a medical exam, you would know whether you’re health or otherwise."
2,# 3 What If My Employer/School Already Bought Life Insurance For Me?,"A very common question that we encounter, but the equally common answer is “no”. While your workplace offers life insurance as a perk, the payout is usually too little.Furthermore, there is the risk of losing your job at any point in time and with it, your life insurance plan. A good perk is that sometimes no medical underwriting is required, meaning even employees with health issues may benefit from group plans at the workplace.How about students? A casual look at National University of Singapore’s group insurance plan reveals that the payout upon accidental death is only $30,000, which is too little as a normal plan. The payout other universities, polytechnics, and ITEs is similarly low as well. There is very little control you have as a student if you only subscribe to your educational institution’s group plan.As such, it is recommended to get a private plan to supplement your existing ones."
