question,processed_question
1. What are the first types of policies I should get?, what are the first types of policies i should get
2. How much should I be insured for?, how much should i be insured for
3. What percentage of my savings should be set aside for insurance?, what percentage of my savings should be set aside for insurance
4. What common mistakes should I avoid when buying my first policy?, what common mistakes should i avoid when buying my first policy
5. How do I file an insurance claim and how long does it take?, how do i file an insurance claim and how long does it take
6. Do I need to pay more when I make a claim?, do i need to pay more when i make a claim
7. How often should I update my insurance policy over the years?, how often should i update my insurance policy over the years
# 1 What Affects My life Insurance Premiums?,  what affects my life insurance premiums
# 2 Do I Need A Medical Exam?,  do i need a medical exam
# 3 What If My Employer/School Already Bought Life Insurance For Me?,  what if my employerschool already bought life insurance for me
# 4 What Kinds Of Life Insurance Are There?,  what kinds of life insurance are there
1. What is the insurance plan monthly and annual premium?, what is the insurance plan monthly and annual premium
2. Is there a waiting period before coverage goes into effect? , is there a waiting period before coverage goes into effect 
3. Are there circumstances where benefits are not paid?, are there circumstances where benefits are not paid
4. Does the plan require a physical exam? , does the plan require a physical exam 
5. What lifestyle factors can impact your life insurance policy before and after the plan goes into effect? , what lifestyle factors can impact your life insurance policy before and after the plan goes into effect 
6. What happens if you miss a monthly premium or are late on a payment? , what happens if you miss a monthly premium or are late on a payment 
7. Does the life insurance plan have a cash value if you decide to cancel the policy?, does the life insurance plan have a cash value if you decide to cancel the policy
8. What is the process to change life insurance beneficiaries?, what is the process to change life insurance beneficiaries
9. What happens with the plan if you decide to move out of state or to another country?, what happens with the plan if you decide to move out of state or to another country
10. Under what circumstances can an insurance policy be cancelled?, under what circumstances can an insurance policy be cancelled
11. Are there situations where the premium may change?, are there situations where the premium may change
12. How are benefits paid out?, how are benefits paid out
13. How long does it take for benefits to be paid out?, how long does it take for benefits to be paid out
14. Can I increase or decrease the benefit amount after plan goes into effect?, can i increase or decrease the benefit amount after plan goes into effect
15. How long has the insurance company been in business? , how long has the insurance company been in business 
16. How many policyholders does the insurance company have? , how many policyholders does the insurance company have 
"17. Who do I contact with insurance plan questions, after it goes into effect? ", who do i contact with insurance plan questions after it goes into effect 
18. Are there reviews online about the insurance company?, are there reviews online about the insurance company
19. Can I pay premiums online or make electronic payments?, can i pay premiums online or make electronic payments
20. Can a family member make premium payments if I am no longer able? , can a family member make premium payments if i am no longer able 
21. Is there a application fee to apply for the plan?, is there a application fee to apply for the plan
22. Does the insurance company offer a final expense life insurance plan?, does the insurance company offer a final expense life insurance plan
23. What is the appeals process if benefits are denied?, what is the appeals process if benefits are denied
24. Can the insurance company change benefit terms after the policy goes into effect?, can the insurance company change benefit terms after the policy goes into effect
25. What happens to my policy if the insurance company is sold or changes ownership?, what happens to my policy if the insurance company is sold or changes ownership
 Looking for Life Insurance? , looking for life insurance 
Life insurance in Singapore — what is it & who should get it?,life insurance in singapore  what is it  who should get it
Health insurance in Singapore — what should you know before buying?,health insurance in singapore  what should you know before buying
Travel insurance in Singapore — how do you choose the right one?,travel insurance in singapore  how do you choose the right one
"How much insurance coverage do you need, in addition to what you have under MediShield Life?
    ","how much insurance coverage do you need in addition to what you have under medishield life
    "
"Are you already covered for the same thing under another health insurance policy?
    ","are you already covered for the same thing under another health insurance policy
    "
"If you are covered as part of your employment benefits, what happens if you leave your job?
    ","if you are covered as part of your employment benefits what happens if you leave your job
    "
"How much insurance should you buy if you have financial constraints? Does the upgrade justify the costs, including the out of pocket expenses?
    ","how much insurance should you buy if you have financial constraints does the upgrade justify the costs including the out of pocket expenses
    "
"Can you afford the premiums over the long term? Health insurance premiums go up with age.
    ","can you afford the premiums over the long term health insurance premiums go up with age
    "
"I already have MediShield Life and/or ElderShield. What kind of health insurance policy do you recommend and why?
    ","i already have medishield life andor eldershield what kind of health insurance policy do you recommend and why
    "
"What will the policy cover? What kind of benefits does it have and how will these meet my needs?
    ","what will the policy cover what kind of benefits does it have and how will these meet my needs
    "
"What limitations, exclusions, deductibles and co-insurance, claim or benefit limits, waiting or deferred periods, will apply? What kind of conditions, treatments, or expenses are not covered? How much will I have to pay for these?
    ","what limitations exclusions deductibles and coinsurance claim or benefit limits waiting or deferred periods will apply what kind of conditions treatments or expenses are not covered how much will i have to pay for these
    "
"How much does the health insurance cost? How often will the premium be charged? Will it be a fixed amount or can the insurance company change the premiums yearly?
    ","how much does the health insurance cost how often will the premium be charged will it be a fixed amount or can the insurance company change the premiums yearly
    "
"Will my policy be renewed automatically? What is the penalty if I don't pay my premiums on time?
    ","will my policy be renewed automatically what is the penalty if i dont pay my premiums on time
    "
"When, or under what circumstances, will my health insurance policy end?
    ","when or under what circumstances will my health insurance policy end
    "
"How will my future premiums or my policy be affected after I have made a claim? What do I do if I have exceeded the claim limits?
    ","how will my future premiums or my policy be affected after i have made a claim what do i do if i have exceeded the claim limits
    "
"What happens if my financial needs or personal circumstances change, e.g. if I'm retrenched or if I choose to retire early? What options are there for me?
    ","what happens if my financial needs or personal circumstances change eg if im retrenched or if i choose to retire early what options are there for me
    "
 Am I eligible to take up MyCare? , am i eligible to take up mycare 
 Why should I join now? , why should i join now 
 What are the benefits covered under MyCare? , what are the benefits covered under mycare 
 How can I pay the premiums for MyCare? , how can i pay the premiums for mycare 
 How long do I have to pay the premiums for MyCare? , how long do i have to pay the premiums for mycare 
 How do I make a claim under MyCare? , how do i make a claim under mycare 
 What is MyCare? , what is mycare 
 If I am still in the old ElderShield benefit plan (with the benefit of $300 months for up to 60 months) do I need to upgrade to buy the Supplementary Plan? , if i am still in the old eldershield benefit plan with the benefit of  months for up to  months do i need to upgrade to buy the supplementary plan 
 What will happen to my MyCare policy if I terminate my basic ElderShield policy? , what will happen to my mycare policy if i terminate my basic eldershield policy 
