"Timestamp","Which one of the following represents your age?","Occupation","Which one of the following best represents your annual personal income?","Are you currently covered by an insurance policy?","If your answer to the above is 'Yes', what is the type of policy you have purchased? If your answer to the above is 'No', select NIL.","If you are currently covered by an insurance, who purchased the insurance policy for you? Select 'NIL' if you are not covered under any insurance policy.","Would you be interested in getting an/another insurance policy?","Why are you interested in purchasing an insurance policy?","What do you look out for when buying an insurance?","What is stopping you from buying an insurance policy?","What are some areas of coverage you hope to have in your future insurance policy? You can be creative :D","Describe a situation in which having an insurance would have helped you.","Have you heard of Prudential?","Do you currently have a policy under Prudential?","If you chose ""Yes"" above, select the type of policies that you have purchased under Prudential. Else, select ""NIL""","If you have bought an insurance from Prudential before, would you buy a policy from them again? Select 'NIL' if you have never bought an insurance from Prudential.","What do you think of their policies and any improvements/suggestions you hope to see from Prudential?"
"2021/01/13 5:41:50 pm GMT+8","22 to 36 years old","student","$25,000 and below","Yes","Life Insurance","Parents","Yes","For future precautions","Affordability;Coverage;Clarity of policy","","Pandemic","Pandemic","Yes","Not sure","NIL","NIL","In the event of a pandemic"
"2021/01/13 5:42:30 pm GMT+8","22 to 36 years old","Student","No income","Yes","Not sure","Parents","No","","","Lack of information;Family member(s) have already bought it for you","Sickness;Pandemic;Fraud","Train breakdown then I need to take other modes of transport. Insurance can pay me for the extra fees that I pay for cab/grab","Yes","No","NIL","NIL","More advertisement to promote or tell me what policies is suitable for me"
"2021/01/13 5:42:41 pm GMT+8","21 years old and under","student","No income","Yes","Life Insurance","Parents","No","","","Lack of information;Family member(s) have already bought it for you","Travel","nil","Yes","No","NIL","NIL","not sure"
"2021/01/13 5:42:58 pm GMT+8","22 to 36 years old","Student","No income","Yes","Not sure","Parents","Yes","For investment purposes;For future precautions","Affordability;Coverage;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Fraud;Housing/Property","Pandemic","Yes","No","NIL","NIL","job related insurance"
"2021/01/13 5:53:18 pm GMT+8","21 years old and under","student","No income","Yes","Life Insurance;Motor/Vehicle Insurance;Health Insurance;Travel Insurance;Investment Insurance;Savings Insurance","Parents","No","","","Family member(s) have already bought it for you","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","dkkkkkk","Yes","Not sure","NIL","No","claim easier la"
"2021/01/13 5:54:55 pm GMT+8","22 to 36 years old","Student, art teacher","$25,000 and below","Yes","Life Insurance;Health Insurance;Travel Insurance;Savings Insurance","Parents","Yes","For investment purposes;For future precautions","Affordability;Coverage;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Accident;Travel;Pandemic;Disability;Housing/Property","Hospitalisation","Yes","No","NIL","NIL","Nil"
"2021/01/13 5:56:01 pm GMT+8","22 to 36 years old","Cleaner","$25,000 and below","No","NIL","NIL","No","","","Financial difficulties","Sickness;Death","Medical Bills","Yes","No","Life Insurance;Motor/Vehicle Insurance;Health Insurance;Travel Insurance;Investment Insurance;Savings Insurance","NIL","Better Service"
"2021/01/13 5:56:15 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Health Insurance","Parents;They purchase first, then i will pay when i can","No","","","Lack of information;Unnecessary;Family member(s) have already bought it for you","Travel;Disability","None do far","Yes","No","NIL","NIL","Transparency"
"2021/01/13 5:56:16 pm GMT+8","21 years old and under","Student","No income","Yes","Life Insurance","Parents","No","","","Financial difficulties;Unnecessary","theres this insurance that grows money for ur future generations under NTUC income","Like flight cancellation when taking planes and I think school has some insurance coverage. ","Yes","No","NIL","NIL","Never bothered to listen to them, always just tell them that I'm a student"
"2021/01/13 5:56:26 pm GMT+8","22 to 36 years old","Undergraduate","$25,000 and below","Yes","Life Insurance;Health Insurance;Investment Insurance;Savings Insurance","Myself;Parents","No","","","Financial difficulties;Family member(s) have already bought it for you","Sickness;Death;Accident;Pandemic;Disability","Overseas accident where i could claim loss of items and medical fees.","Yes","Yes","Investment Insurance;Savings Insurance","Yes","None needed."
"2021/01/13 5:56:47 pm GMT+8","22 to 36 years old","Student","Above $200,000","Yes","Motor/Vehicle Insurance","NIL","No","","","Too mainstream","I said no though","When someone hits my vehicle, I'll sue until their pants drop but I have my own injuries covered too.","No","No","NIL","No","Insurance pests"
"2021/01/13 5:57:37 pm GMT+8","22 to 36 years old","Student ","$25,000 and below","No","NIL","NIL","Yes","For investment purposes;For future precautions","Coverage;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Hospitalisation ","Yes","Yes","Critical illness","Yes","It’s alright "
"2021/01/13 5:58:19 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance;Travel Insurance;Savings Insurance","Parents","No","","","Unnecessary","Sickness;Accident","operation on injury","Yes","No","NIL","NIL","nil"
"2021/01/13 5:59:21 pm GMT+8","22 to 36 years old","","No income","Yes","Life Insurance;Health Insurance","Parents","No","","","Financial difficulties;Lack of information;Family member(s) have already bought it for you","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","If I fall ill in the middle of my big plans","Yes","No","NIL","NIL","I don't know much about prudential or any insurance really"
"2021/01/13 6:00:00 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance;Investment Insurance;Savings Insurance","Parents","No","","","Family member(s) have already bought it for you;Covered enough already","Pandemic;Fraud;Disability;Housing/Property","Travel Insurance when my flight was delayed for >6 hrs","Yes","No","NIL","NIL","nil"
"2021/01/13 6:00:15 pm GMT+8","21 years old and under","","$25,000 and below","No","NIL","NIL","Yes","For investment purposes;For future precautions","Affordability;Coverage;Customer Service;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","when paying for medical bills","Yes","No","NIL","NIL","don't know much to comment but hope they do more publicity for people like me to know more"
"2021/01/13 6:01:16 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance","Parents;Government: Dependent Protection Scheme","Yes","For future precautions","Coverage;Company, Payout & How does it work.","","Sickness;Death;Accident;Travel;Housing/Property","When I am overseas, and a natural disaster occurs, my belongings are insured.","Yes","No","NIL","NIL","NIL"
"2021/01/13 6:02:07 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance","Myself;Parents","No","","","Financial difficulties","Sickness;Death;Accident;Housing/Property","Got a slipped disc unexpectedly and got covered from insurance luckily.","Yes","No","NIL","NIL","Nil"
"2021/01/13 6:07:44 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Health Insurance;Travel Insurance","Parents","No","","","Family member(s) have already bought it for you","Death;Accident;Pandemic;Disability","Monetary","Yes","Yes","Life Insurance;Health Insurance","Yes","Nil"
"2021/01/13 6:10:58 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance","Parents","Yes","For investment purposes","Affordability;Coverage;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Travel;Housing/Property","it has helped my family as the insurance manage to cover the hospitalisation costs","Yes","Yes","Health Insurance","Yes","Did not read much about their policies so I'm unable to answer this question"
"2021/01/13 6:16:39 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance","Parents","No","","","Family member(s) have already bought it for you","Death","NA","Yes","No","NIL","NIL","NIL"
"2021/01/13 6:18:00 pm GMT+8","22 to 36 years old","Student","$25,000 and below","Yes","Health Insurance","Parents","Yes","For future precautions","Affordability;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Disability","Car accident ","Yes","No","NIL","NIL","Na"
