feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,labels
-0.272421951,-0.421012029,1.344057206,-0.012199278,0.07624522,1.087860446,0.236326038,3,0,1,0,0,0,0,10,2,1
0.857935798,0.146321934,0.503672703,-0.97668754,-0.566949936,-0.409269508,-0.304531366,4,1,2,0,1,0,0,0,3,0
0.952132277,-0.173936793,1.824276923,-0.701672815,0.07624522,-0.409269508,-0.304531366,6,1,2,0,0,0,0,5,3,0
0.857935798,-0.37859151,0.983892419,-0.039313406,-0.566949936,-0.409269508,-0.304531366,4,0,2,0,1,0,0,5,3,0
1.328918193,1.565628305,-1.177096305,-0.097415109,-0.245352358,-0.409269508,-0.304531366,0,1,1,0,0,0,0,8,3,0
1.423114672,-0.443679482,1.344057206,0.154358935,-0.566949936,0.716089921,4.02232787,4,1,1,0,0,0,0,10,1,1
0.292756923,-0.320303774,-0.816931518,-0.643571113,-0.566949936,-0.409269508,-0.304531366,9,1,1,0,1,0,0,5,3,0
0.010167486,-0.330018397,-0.816931518,-0.322075025,-0.566949936,-0.409269508,-0.304531366,9,1,1,0,1,0,0,5,3,0
-1.49697618,0.02035566,-0.096601943,1.014264133,-0.566949936,-0.409269508,-0.304531366,8,2,2,0,1,0,0,8,3,0
0.857935798,-0.418745284,1.344057206,-0.465392558,-0.245352358,-0.409269508,-0.304531366,7,1,1,0,0,0,0,8,3,0
-0.272421951,-0.349123822,-1.177096305,-0.674558687,-0.245352358,-0.409269508,-0.304531366,1,1,1,0,1,1,2,6,3,0
-0.931797305,-0.369524529,-0.936986447,-0.27946711,-0.245352358,-0.409269508,-0.304531366,1,1,0,0,0,0,1,5,3,0
1.046328756,-0.363695756,1.584167065,0.03815553,1.041037955,-0.409269508,-0.304531366,11,1,0,0,0,0,0,5,3,0
-0.084028993,-0.440117454,-1.177096305,-0.833370007,-0.566949936,-0.409269508,-0.304531366,10,2,1,0,1,0,2,8,3,0
-0.084028993,-0.342971227,-1.177096305,1.858675543,-0.245352358,-0.409269508,-0.304531366,9,0,1,0,0,0,0,1,3,1
-0.555011389,-0.537911322,0.503672703,-0.236859195,0.07624522,-0.409269508,-0.304531366,7,2,1,0,1,0,0,0,3,0
