Situation in which insurance will help you,lemmatised_content,tokenized_content,remove_stopwords_content,pos_tag_content,final_content
pandemic,pandemic,['pandemic'],['pandemic'],['pandemic'],pandemic
train breakdown then i need to take other modes of transport. insurance can pay me for the extra fees that i pay for cab/grab,train breakdown then i need to take other mode of transport . insurance can pay  for the extra fee that i pay for cab / grab,"['train', 'breakdown', 'then', 'i', 'need', 'to', 'take', 'other', 'mode', 'of', 'transport', 'insurance', 'can', 'pay', 'for', 'the', 'extra', 'fee', 'that', 'i', 'pay', 'for', 'cab', 'grab']","['train', 'breakdown', 'need', 'take', 'mode', 'transport', 'pay', 'extra', 'fee', 'pay', 'cab', 'grab']","['breakdown', 'mode', 'extra', 'train', 'transport', 'pay', 'fee', 'pay', 'cab', 'grab']",breakdown mode extra train transport pay fee pay cab grab
pandemic,pandemic,['pandemic'],['pandemic'],['pandemic'],pandemic
hospitalisation,hospitalisation,['hospitalisation'],['hospitalisation'],['hospitalisation'],hospitalisation
medical bills,medical bill,"['medical', 'bill']","['medical', 'bill']","['medical', 'bill']",medical bill
none do far,none do far,"['none', 'do', 'far']","['none', 'far']",['none'],none
like flight cancellation when taking planes and i think school has some insurance coverage. ,like flight cancellation when take plane and i think school have some insurance coverage .,"['like', 'flight', 'cancellation', 'when', 'take', 'plane', 'and', 'i', 'think', 'school', 'have', 'some', 'insurance', 'coverage']","['like', 'flight', 'cancellation', 'take', 'plane', 'think', 'school', 'coverage']","['flight', 'cancellation', 'plane', 'school', 'coverage']",flight cancellation plane school coverage
overseas accident where i could claim loss of items and medical fees.,overseas accident where i could claim loss of item and medical fee .,"['overseas', 'accident', 'where', 'i', 'could', 'claim', 'loss', 'of', 'item', 'and', 'medical', 'fee']","['overseas', 'accident', 'could', 'claim', 'loss', 'item', 'medical', 'fee']","['overseas', 'medical', 'accident', 'loss', 'item', 'fee']",overseas medical accident loss item fee
"when someone hits my vehicle, i'll sue until their pants drop but i have my own injuries covered too.","when someone hit  vehicle ,  will sue until  pant drop but i have  own injury cover too .","['when', 'someone', 'hit', 'vehicle', 'will', 'sue', 'until', 'pant', 'drop', 'but', 'i', 'have', 'own', 'injury', 'cover', 'too']","['someone', 'hit', 'vehicle', 'sue', 'pant', 'drop', 'injury', 'cover']","['pant', 'someone', 'vehicle', 'sue', 'drop', 'injury', 'cover']",pant someone vehicle sue drop injury cover
hospitalisation ,hospitalisation,['hospitalisation'],['hospitalisation'],['hospitalisation'],hospitalisation
operation on injury,operation on injury,"['operation', 'on', 'injury']","['operation', 'injury']","['operation', 'injury']",operation injury
if i fall ill in the middle of my big plans,if i fall ill in the middle of  big plan,"['if', 'i', 'fall', 'ill', 'in', 'the', 'middle', 'of', 'big', 'plan']","['fall', 'ill', 'middle', 'big']","['big', 'fall', 'ill']",big fall ill
travel insurance when my flight was delayed for > hrs,travel insurance when  flight be delay for > hrs,"['travel', 'insurance', 'when', 'flight', 'be', 'delay', 'for', 'hrs']","['travel', 'flight', 'delay', 'hrs']","['travel', 'flight', 'delay', 'hrs']",travel flight delay hrs
when paying for medical bills,when pay for medical bill,"['when', 'pay', 'for', 'medical', 'bill']","['pay', 'medical', 'bill']","['medical', 'bill']",medical bill
"when i am overseas, and a natural disaster occurs, my belongings are insured.","when i be overseas , and a natural disaster occur ,  belonging be insure .","['when', 'i', 'be', 'overseas', 'and', 'a', 'natural', 'disaster', 'occur', 'belonging', 'be', 'insure']","['overseas', 'natural', 'disaster', 'occur', 'belonging', 'insure']","['overseas', 'natural', 'disaster', 'belonging', 'insure']",overseas natural disaster belonging insure
got a slipped disc unexpectedly and got covered from insurance luckily.,get a slip disc unexpectedly and get cover from insurance luckily .,"['get', 'a', 'slip', 'disc', 'unexpectedly', 'and', 'get', 'cover', 'from', 'insurance', 'luckily']","['get', 'slip', 'disc', 'unexpectedly', 'get', 'cover', 'luckily']","['slip', 'cover', 'disc']",slip cover disc
monetary,monetary,['monetary'],['monetary'],['monetary'],monetary
it has helped my family as the insurance manage to cover the hospitalisation costs, have help  family as the insurance manage to cover the hospitalisation cost,"['have', 'help', 'family', 'as', 'the', 'insurance', 'manage', 'to', 'cover', 'the', 'hospitalisation', 'cost']","['help', 'family', 'manage', 'cover', 'hospitalisation', 'cost']","['cover', 'help', 'family', 'hospitalisation', 'cost']",cover help family hospitalisation cost
car accident ,car accident,"['car', 'accident']","['car', 'accident']","['car', 'accident']",car accident
losing money while travelling ,lose money while travel,"['lose', 'money', 'while', 'travel']","['lose', 'money', 'travel']","['money', 'travel']",money travel
when i die d:,when i die d :,"['when', 'i', 'die', 'd']",['die'],['die'],die
"if i suddenly get into an accident tomorrow, or if i caught some hereditary illness from my parents","if i suddenly get into an accident tomorrow , or if i catch some hereditary illness from  parent","['if', 'i', 'suddenly', 'get', 'into', 'an', 'accident', 'tomorrow', 'or', 'if', 'i', 'catch', 'some', 'hereditary', 'illness', 'from', 'parent']","['suddenly', 'get', 'accident', 'tomorrow', 'catch', 'hereditary', 'illness', 'parent']","['accident', 'tomorrow', 'catch', 'hereditary', 'illness', 'parent']",accident tomorrow catch hereditary illness parent
